2006,Avg Temp,2-Week Avg
7/25,18.61461806,
7/26,18.27336806,
7/27,18.18302083,
7/28,17.89614583,
7/29,17.70149306,
7/30,18.07739583,
7/31,17.83465278,
8/1,17.46215278,
8/2,17.12739583,
8/3,16.49413194,
8/4,15.79875,
8/5,16.39857639,
8/6,16.34722222,
8/7,16.46104167,
8/8,16.30038194,
8/9,16.6190625,
8/10,16.7871777,17.19862279
8/11,16.28340278,
8/12,15.38704861,
8/13,15.15663194,
8/14,15.46840278,
8/15,15.23795139,
8/16,15.5253125,
8/17,15.93399306,
8/18,15.63909722,
8/19,15.51038194,
8/20,15.57489583,
8/21,15.57326389,
8/22,15.94079861,15.60259838
8/23,16.355625,
8/24,16.11003472,
8/25,15.79607639,
8/26,15.89083333,
8/27,15.6559375,
8/28,15.29274306,
8/29,15.20427083,
8/30,15.39277778,
8/31,16.19958333,
9/1,16.21447917,
9/2,15.88888889,
9/3,15.54159722,
9/4,15.21833333,
9/5,15.1,
9/6,14.99236111,
9/7,14.85350694,
9/8,14.57104167,
9/9,14.50607639,
9/10,14.25597222,
9/11,14.21989583,
9/12,14.69079861,
9/13,14.608125,
9/14,14.56961806,
9/15,14.56777778,
9/16,14.56888889,
9/17,14.4021875,
9/18,14.25635417,
9/19,14.01270833,
9/20,13.73340278,
9/21,13.5528125,
9/22,13.63121528,
9/23,13.4975,
9/24,13.50142361,
9/25,13.73208333,
9/26,13.78204861,
9/27,13.91267361,
9/28,13.668125,
9/29,13.59444444,
9/30,13.74298611,
10/1,13.97958333,
10/2,14.35854167,
10/3,14.45208333,
10/4,14.55670139,
10/5,14.55638889,
10/6,14.26527778,
10/7,14.26465278,
10/8,14.42826389,
10/9,14.80076389,
10/10,15.10986111,
10/11,15.07496528,
10/12,14.98680556,
10/13,14.74232639,
10/14,14.61128472,
10/15,14.57895833,
10/16,14.86923611,
10/17,15.1034375,
10/18,15.12364583,
10/19,15.24076389,
10/20,15.15756944,
10/21,15.06986111,
10/22,15.04298611,
10/23,14.90482639,
10/24,14.82131944,
10/25,14.56944444,
10/26,14.67142361,
10/27,14.39746528,
10/28,14.26163194,
10/29,14.14840278,
10/30,13.84368056,
10/31,13.73927083,
11/1,13.77545139,
11/2,13.95246528,
11/3,14.29986111,
11/4,14.65055556,
11/5,14.84003472,
11/6,14.97666667,
11/7,15.00614583,
11/8,14.92357639,
11/9,14.35446367,
11/10,13.70118056,
11/11,13.28486111,
11/12,13.03892361,
11/13,12.5359375,
11/14,12.67409722,
11/15,12.79677083,
11/16,12.96982639,
11/17,13.22222222,
11/18,13.31989583,
11/19,13.38513889,
11/20,13.49854167,
11/21,13.68173611,
11/22,13.83520833,
11/23,13.4521875,
11/24,12.72597222,
11/25,12.21680556,
11/26,11.67253472,
11/27,11.35628472,
11/28,11.2046875,
11/29,10.86378472,
11/30,10.6046875,
12/1,10.76920139,
12/2,10.86642361,
12/3,10.82652778,
12/4,10.89086806,
12/5,10.91961806,
12/6,11.01149306,
12/7,10.96881944,
12/8,10.72961806,
12/9,11.29840278,
12/10,11.53076389,
12/11,11.4875,
12/12,11.81989583,
12/13,12.13670139,
12/14,12.37298611,
12/15,12.24965278,
12/16,11.58427083,
12/17,11.10399306,
12/18,10.93388889,
12/19,10.8065625,
12/20,10.26083333,
12/21,9.884444444,
12/22,9.902638889,
12/23,10.04559028,
12/24,9.975833333,
12/25,9.977951389,
12/26,10.45225694,
12/27,10.60197917,
12/28,10.32267361,
12/29,10.26475694,
12/30,10.41729167,
12/31,10.62232639,
